# Matter power spectrum P(k) at redshift z=0
# for k=2.09468e-07 to 54.0596 h/Mpc,
# number of wavenumbers equal to 6840
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.356429809333e-04       2.129008777811e+03 
       5.374923858203e-04       2.136010293340e+03 
       5.393483807730e-04       2.143035061037e+03 
       5.412109933023e-04       2.150083168455e+03 
       5.430802509452e-04       2.157154703098e+03 
       5.449561812635e-04       2.164249752419e+03 
       5.468388118425e-04       2.171368403813e+03 
       5.487281702893e-04       2.178510744606e+03 
       5.506242842313e-04       2.185676862056e+03 
       5.525271813149e-04       2.192866843341e+03 
       5.544368892039e-04       2.200080775553e+03 
       5.563534355776e-04       2.207318745693e+03 
       5.582768481299e-04       2.214580840666e+03 
       5.602071545669e-04       2.221867147269e+03 
       5.621443826061e-04       2.229177752188e+03 
       5.640885599740e-04       2.236512741990e+03 
       5.660397144050e-04       2.243872203118e+03 
       5.679978736394e-04       2.251256221878e+03 
       5.699630654218e-04       2.258664884441e+03 
       5.719353174997e-04       2.266098276827e+03 
       5.739146576209e-04       2.273556484902e+03 
       5.759011135327e-04       2.281039594371e+03 
       5.778947129797e-04       2.288547690770e+03 
       5.798954837017e-04       2.296080859456e+03 
       5.819034534324e-04       2.303639185605e+03 
       5.839186498974e-04       2.311222754198e+03 
       5.859411008122e-04       2.318831650017e+03 
       5.879708338802e-04       2.326465957639e+03 
       5.900078767912e-04       2.334125761421e+03 
       5.920522572193e-04       2.341811145501e+03 
       5.941040028209e-04       2.349522193784e+03 
       5.961631412325e-04       2.357258989936e+03 
       5.982297000693e-04       2.365021617377e+03 
       6.003037069227e-04       2.372810159270e+03 
       6.023851893586e-04       2.380624698515e+03 
       6.044741749151e-04       2.388465317740e+03 
       6.065706911007e-04       2.396332099294e+03 
       6.086747653919e-04       2.404225125236e+03 
       6.107864252314e-04       2.412144477329e+03 
       6.129056980259e-04       2.420090237030e+03 
       6.150326111440e-04       2.428062485481e+03 
       6.171671919138e-04       2.436061303505e+03 
       6.193094676213e-04       2.444086771589e+03 
       6.214594655074e-04       2.452138969884e+03 
       6.236172127665e-04       2.460217978189e+03 
       6.257827365438e-04       2.468323875947e+03 
       6.279560639333e-04       2.476456742235e+03 
       6.301372219754e-04       2.484616655753e+03 
       6.323262376545e-04       2.492803694819e+03 
       6.345231378972e-04       2.501017937356e+03 
       6.367279495696e-04       2.509259460884e+03 
       6.389406994751e-04       2.517528342513e+03 
       6.411614143519e-04       2.525824658932e+03 
       6.433901208710e-04       2.534148486399e+03 
       6.456268456337e-04       2.542499900736e+03 
       6.478716151690e-04       2.550878977312e+03 
       6.501244559316e-04       2.559285791043e+03 
       6.523853942991e-04       2.567720416376e+03 
       6.546544565700e-04       2.576182927281e+03 
